College ID	Branch Code	Branch Name	Approved Intake	Year of starting course	NBA Accredited	Accredition Valid upto
1202	100	Computer Science	100	2000	Yes	2020
1202	101	ECE	60	2004	No	2015
0001	AI	Agriculture and Irrigation Engg.	40	2006	No	--
0001	BY	Bio Medical Engineering	60	2008	No	--
0001	CE	Civil Engineering	60	1859	No	--
0001	XC	Civil Engineering 	60	2010	No	--
0001	CS	Computer science and engineering	60	1982	No	--
0001	CM	Computer science and engineering	120	2006	No	--
0001	EE	Electrical and Electronics Engineering	60	1930	No	--
0001	EM	Electroncis and Communication Engg.	120	2006	No	--
0001	EC	Electroncis and Communication Engg.	60	1946	No	--
0001	GI	Geo-Informatics	40	1993	No	--
0001	IE	Industrial Engineering	40	1981	No	--
0001	IM	Information Technology	120	2006	No	--
0001	MN	Manufacturing Engineering	40	1980	No	--
0001	MA	Material Science and Engineering	40	2006	No	--
0001	ME	Mechanical Engineering	120	1895	No	--
0001	XM	Mechanical Engineering	60	2010	No	--
0001	MI	Mining Engineering	25	1987	No	--
0001	PT	Printing Technology	40	1983	No	--
0002	AP	Apparel Technology	30	2007	No	--
0002	CR	Ceramic Technolgy	30	1996	No	--
0002	CH	Chemical Engineering	60	1944	No	--
0002	CL	Chemical Engineering	40	2012	No	--
0002	FS	Food Technology	40	2004	No	--
0002	IB	Industrial Bio-Technology	40	1992	No	--
0002	IS	Industrial Bio-Technology	20	2004	No	--
0002	LE	Leather Techology	40	1945	No	--
0002	PP	Petroleum Engineering and Technology	40	2013	No	--
0002	PM	Pharmaceutical Tech	20	2004	No	--
0002	TX	Textile Technology	40	1945	No	--
0003	AR	Architecture	80	1957	--	2013
0004	AE	Aeronautical Engineering	40	1949	No	--
0004	AU	Automobile Engineering	50	1949	No	--
0004	CS	Computer science and engineering	60	2001	No	--
0004	CM	Computer science and engineering	60	2008	No	--
0004	EM	Electroncis and Communication Engg.	120	2002	No	--
0004	EC	Electroncis and Communication Engg.	60	1949	No	--
0004	EX	electroncis and Instrumentation Engg	60	2011	No	--
0004	EI	electroncis and Instrumentation Engg	60	1949	No	--
0004	IM	Information Technology	120	2001	No	--
0004	PR	production Engineering	60	1977	No	--
0004	RP	Rubber and Plastic tech	30	1988	No	--
1013	CS	Computer science and engineering	60	2008	No	--
1013	EC	Electroncis and Communication Engg.	60	2008	No	--
1013	IT	Information Technology	60	2008	No	--
1013	ME	Mechanical Engineering	60	2008	No	--
1013	XM	Mechanical Engineering	60	2010	No	--
1014	CE	Civil Engineering	60	2008	No	--
1014	XC	Civil Engineering	60	2010	No	--
1014	CS	Computer science and engineering	60	2008	No	--
1014	EC	Electroncis and Communication Engg.	60	2008	No	--
1014	IT	Information Technology	60	2008	No	--
1015	CS	Computer science and engineering	60	2009	No	--
1015	EE	Electrical and Electronics Engineering	60	2009	No	--
1015	EC	Electroncis and Communication Engg.	60	2009	No	--
1015	ME	Mechanical Engineering	60	2009	No	--
1015	XM	Mechanical Engineering	60	2010	No	--
1026	CS	Computer science and engineering	60	2010	No	--
1026	EE	Electrical and Electronics Engineering	60	2010	No	--
1026	EC	Electroncis and Communication Engg.	60	2010	No	--
1026	ME	Mechanical Engineering	60	2010	No	--
1101	CE	Civil Engineering	60	2007	No	--
1101	CS	Computer science and engineering	120	2000	No	--
1101	EE	Electrical and Electronics Engineering	60	2000	Yes	SEP2014
1101	EC	Electroncis and Communication Engg.	120	2000	Yes	SEP2014
1101	IT	Information Technology	60	2006	No	--
1101	ME	Mechanical Engineering	120	2007	No	--
1102	CS	Computer science and engineering	120	2001	No	--
1102	EE	Electrical and Electronics Engineering	60	2002	No	--
1102	EC	Electroncis and Communication Engg.	120	2001	No	--
1102	IT	Information Technology	45	2001	No	--
1102	ME	Mechanical Engineering	180	2001	No	--
1104	CE	Civil Engineering	60	2011	No	--
1104	CS	Computer science and engineering	60	2011	No	--
1104	EE	Electrical and Electronics Engineering	60	2011	No	--
1104	EC	Electroncis and Communication Engg.	60	2011	No	--
1104	ME	Mechanical Engineering	60	2011	No	--
1106	AE	Aeronautical Engineering	60	2006	No	--
1106	CE	Civil Engineering	60	2001	No	--
1106	CS	Computer science and engineering	120	1995	Yes	JAN2015
1106	EE	Electrical and Electronics Engineering	60	1998	No	--
1106	EC	Electroncis and Communication Engg.	120	1995	Yes	JAN2015
1106	EI	electroncis and Instrumentation Engg	60	2002	No	--
1106	IT	Information Technology	120	1998	No	--
1106	ME	Mechanical Engineering	60	2002	No	--
1106	TX	Textile Technology	40	1995	Yes	JAN2015
1107	EE	Electrical and Electronics Engineering	60	2002	No	--
1107	EC	Electronics and Communication	60	2001	No	--
1108	CE	Civil Engineering	60	2009	No	--
1108	CS	Computer science and engineering	60	1999	No	--
1108	EE	Electrical and Electronics Engineering	60	1999	No	--
1108	EC	Electronics and Communication	120	1999	No	--
1108	IT	Information Technology	60	2012	No	--
1108	ME	Mechanical Engineering	120	1999	No	--
1110	BT	Bio-Technology	60	2002	No	--
1110	CE	Civil Engineering	120	2009	No	--
1110	CS	Computer science and engineering	120	2001	No	--
1110	EE	Electrical and Electronics Engineering	120	2001	No	--
1110	EC	Electronics and Communication	240	2001	No	--
1110	IT	Information Technology	120	2001	No	--
1110	ME	Mechanical Engineering	120	2009	No	--
1112	CS	Computer science and engineering	120	2001	No	JUL2013
1112	EE	Electrical and Electronics Engineering	120	2001	No	JUL2013
1112	EC	Electronics and Communication	180	2001	No	JUL2013
1112	EI	Electronics and Instrumentation engineering	60	2009	No	--
1112	IT	Information Technology	60	2001	No	JUL2013
1113	CE	Civil Engineering	120	2005	No	--
1113	CS	Computer science and engineering	120	1997	YES	AUG2015
1113	EE	Electrical and Electronics Engineering	120	1995	--	APR2014
1113	EC	Electronics and Communication	180	1995	YES	AUG2015
1113	EI	Electronics and Instrumentation engineering	60	1998	YES	AUG2015
1113	IT	Information Technology	60	1999	YES	FEB2019
1113	ME	Mechanical Engineering	120	1995	No	MAY2012
1114	CE	Civil Engineering	60	2011	No	--
1114	CS	Computer science and engineering	180	1998	#	FEB2012
1114	EE	Electrical and Electronics Engineering	120	2001	#	FEB2012
1114	EC	Electronics and Communication	180	1998	#	FEB2012
