College Name	College ID	Accomodation for UG	Gender	Permanent	Type of mess	Mess Bill in Rs\Year	Room Rent Rs\Year	Electricy Charges	Caution Deposit	Establishment Charges Rs\Yr	Admission Fee	Transport Facility	Transport optional or compulsory	Min Transport charges	Max transport charges	Minority status
DMI College of Engineering	1202	Engineering	Male 	Yes	Veg/Non veg	2000	10000	NA	100000	20000	300000	Yes	Optional	3000	5000	No
DMI College of Engineering	1202	Engineering	Female	Yes	Veg/Non veg	2000	10000	NA	100000	20000	300000	Yes	Optional	3000	5000	No
Kalsar college of engineering	1204	Engineering	Male 	Yes	Veg/Non veg	2500	10000	NA	100000	20000	300000	Yes	Optional	3000	5000	No
university department of anna university -ceg campus	0001	Engineering	Male 	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university department of anna university -ceg campus	0001	Engineering	Female	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university department of anna university -act campus	0002	Engineering	Male 	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university department of anna university -act campus	0002	Engineering	Female	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university department of anna university -sap campus	0003	Engineering	Male 	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university department of anna university -sap campus	0003	Engineering	Female	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university department of anna university -mit campus	0004	Engineering	Male 	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university department of anna university -mit campus	0004	Engineering	Female	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university college of engineering, Villupuram	1013	Engineering	Male 	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university college of engineering, Tindivanam	1013	Engineering	Female	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university college of engineering, Tindivanam	1014	Engineering	Male 	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university college of engineering, Tindivanam	1014	Engineering	Female	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university college of engineering, arni	1015	Engineering	Male 	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university college of engineering, arni	1015	Engineering	Female	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university college of engineering, kanchipuram	1026	Engineering	Male 	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
university college of engineering, kanchipuram	1026	Engineering	Female	Yes	Veg/Non veg	Dividing	14400	14400	5000	11000	500	No	--	--	--	No
aalim muhammed salegh college of engineering	1101	Engineering	Male 	Yes	Veg/Non veg	39000	13000	3000	1000	--	250	Yes	Optional	19600	22600	$
bahjarang engineering college	1102	Engineering	Male 	Yes	Veg/Non veg	24000	18000	3000	10000	5000	250	Yes	Optional	10000	20000	$
bahjarang engineering college	1102	Engineering	Female	Yes	Veg/Non veg	24000	18000	3000	10000	5000	250	Yes	Optional	10000	20000	$
pallava raja college of engineering	1104	Engineering	Male 	Yes	Veg/Non veg	45000	10200	1800	--	--	1000	Yes	Optional	5000	10000	No
pallava raja college of engineering	1104	Engineering	Female	Yes	Veg/Non veg	45000	10200	1800	--	--	1000	Yes	Optional	5000	10000	No
jaya engineering college	1106	Engineering	Male 	Yes	Veg/Non veg	30000	12000	3000	--	5000	500	Yes	Optional	23000	30000	No
jaya engineering college	1106	Engineering	Female	Yes	Veg/Non veg	30000	12000	3000	--	5000	500	Yes	Optional	23000	30000	No
jaya institute of technology	1107	Institute	Male 	Yes	Veg/Non veg	30000	12000	3000	--	5000	200	Yes	Optional	10000	20000	Yes
jaya institute of technology	1107	Engineering	Female	Yes	Veg/Non veg	30000	12000	3000	--	5000	200	Yes	Optional	10000	20000	Yes
Magna College of Engineering	1108	Engineering	Male 	Yes	Veg/Non veg	50000	12000	500	1000	--	100	Yes	Compulsory	15000	21000	$
Magna College of Engineering	1108	Engineering	Female	Yes	Veg/Non veg	50000	12000	500	1000	--	100	Yes	Compulsory	15000	21000	$
Prathyusha institute of technology and management	1110	Management	Male 	Yes	Veg/Non veg	45000	14000	6000	--	3000	1000	Yes	Compulsory	17500	24000	$
Prathyusha institute of technology and management	1110	Management	Female	Yes	Veg/Non veg	45000	14000	6000	--	3000	1000	Yes	Compulsory	17500	24000	$
R M D Engineering College	1112	Engineering	Male 	Yes	Veg/Non veg	44000	21000	10000	---	10000	--	Yes	Optional	8000	26500	Yes
R M D Engineering College	1112	Engineering	Female	Yes	Veg/Non veg	44000	21000	10000	---	10000	--	Yes	Optional	8000	26500	Yes
R M K Engineering College	1113	Engineering	Male 	Yes	Veg/Non veg	44000	21000	10000	---	10000	--	Yes	Optional	8000	26500	Yes
R M K Engineering College	1113	Engineering	Female	Yes	Veg/Non veg	44000	21000	10000	---	10000	--	Yes	Optional	8000	26500	Yes
S A Engineeing College	1114	Engineering	Male 	Yes	Veg/Non veg	34700	15400	4900	---	--	--	Yes	Compulsory	13000	25000	Yes
S A Engineeing College	1114	Engineering	Female	Yes	Veg/Non veg	34700	15400	4900	---	--	--	Yes	Compulsory	13000	25000	Yes
Sriram Engineering college	1115	Engineering	Male 	Yes	Veg/Non veg	50000	--	--	---	--	--	Yes	Optional	21000	27000	Yes
Sriram Engineering college	1115	Engineering	Female	Yes	Veg/Non veg	50000	--	--	---	--	--	Yes	Optional	21000	27000	Yes
Sri Venkateswara College of Engineering and Technology	1116	Engineering	Male 	Yes	Veg/Non veg	45000	6500	3500	2000	--	500	Yes	Compulsory	7500	22000	Yes
Sri Venkateswara College of Engineering and Technology	1116	Engineering	Female	Yes	Veg/Non veg	45000	6500	3500	2000	--	500	Yes	Compulsory	7500	22000	Yes
Vel tech multi tech Dr.rangarajan Dr.sakunthala Engineering College	1118	Engineering	Male 	Yes	Veg/Non veg	38000	18000	9000	5000	--	5000	Yes	Optional	15000	30000	Yes
Vel tech multi tech Dr.rangarajan Dr.sakunthala Engineering College	1118	Engineering	Female	Yes	Veg/Non veg	38000	18000	9000	5000	--	5000	Yes	Optional	15000	30000	Yes
Velammal Engineering College	1120	Engineering	Male 	Yes	Veg/Non veg	45000	18000	3000	3000	4000	7500	Yes	Compulsory	24000	24000	No
Velammal Engineering College	1120	Engineering	Female	Yes	Veg/Non veg	45000	18000	3000	3000	4000	7500	Yes	Compulsory	24000	24000	No
Sri Venkateswara institute of Science and Technology	1121	Institute	Male 	Yes	Veg/Non veg	42000	7200	3600	2500	3000	500	Yes	Optional	9000	22500	$
Sri Venkateswara institute of Science and Technology	1121	Institute	Female	Yes	Veg/Non veg	42000	7200	3600	2500	3000	500	Yes	Optional	9000	22500	$
Vel tech High tech Dr.rangarajan Dr.sakunthala Engineering College	1122	Engineering	Male 	Yes	Veg/Non veg	38000	18000	9000	5000	--	5000	Yes	Optional	15000	30000	Yes
Vel tech High tech Dr.rangarajan Dr.sakunthala Engineering College	1122	Engineering	Female	Yes	Veg/Non veg	38000	18000	9000	5000	--	5000	Yes	Optional	15000	30000	Yes
Gojan School of Business and Technology	1123	School technology	Male 	Yes	Veg/Non veg	25000	10000	--	10000	--	500	Yes	Optional	8000	18000	No
Gojan School of Business and Technology	1123	School technology	Female	Yes	Veg/Non veg	25000	10000	--	10000	--	500	Yes	Optional	8000	18000	No
SAMS College of Engineering and Technology	1124	Engineering	Male 	Yes	Veg/Non veg	32400	9000	4800	3000	1800	1000	Yes	Optional	8000	18000	No
SAMS College of Engineering and Technology	1124	Engineering	Female	Yes	Veg/Non veg	32400	9000	4800	3000	1800	1000	Yes	Optional	8000	18000	No
PMR Engineering College	1125	Engineering	Male 	Yes	Veg/Non veg	Divide	16500	5500	---	5000	2000	Yes	Optional	19900	19900	No
PMR Engineering College	1125	Engineering	Female	Yes	Veg/Non veg	Divide	16500	5500	---	5000	2000	Yes	Optional	19900	19900	No
J N N Institute of engineering	1126	Engineering	Male 	Yes	Veg/Non veg	26400	19200	6000	--	--	--	Yes	Optional	--	--	No
J N N Institute of engineering	1126	Engineering	Female	Yes	Veg/Non veg	26400	19200	6000	--	--	--	Yes	Optional	--	--	No
St. Peter's College of Engineering and Technology	1127	Engineering	Male 	Yes	Veg/Non veg	26400	23000	150	--	--	250	Yes	Optional	12000	35000	No
St. Peter's College of Engineering and Technology	1127	Engineering	Female	Yes	Veg/Non veg	26400	23000	150	--	--	250	Yes	Optional	12000	35000	No
R M K College of Engineering and Technology	1128	Engineering	Male 	Yes	Veg/Non veg	44000	21000	10000	--	10000	--	Yes	Optional	8000	26500	Yes
R M K College of Engineering and Technology	1128	Engineering	Female	Yes	Veg/Non veg	44000	21000	10000	--	10000	--	Yes	Optional	8000	26500	Yes
marg institute of design and Architecture swarnabhoomi (midas)	1130	Institute	Male 	Yes	Veg/Non veg	52950	25350	7200	10000	7500	10000	Yes	Optional	20000	60000	Yes
marg institute of design and Architecture swarnabhoomi (midas)	1130	Institute	Female	Yes	Veg/Non veg	52950	25350	7200	10000	7500	10000	Yes	Optional	20000	60000	Yes
Vel Tech	1131	Engineering	Male 	Yes	Veg/Non veg	38000	18000	9000	5000	--	5000	Yes	Optional	15000	30000	Yes
Vel Tech	1131	Engineering	Female	Yes	Veg/Non veg	38000	18000	9000	5000	--	5000	Yes	Optional	15000	30000	Yes
rajalakshmi school of architecture	1132	School technology	Male 	Yes	Veg/Non veg	27000	23004	---	--	--	1000	Yes	Optional	27000	27000	Yes
rajalakshmi school of architecture	1132	School technology	Female	Yes	Veg/Non veg	27000	23004	---	--	--	1000	Yes	Optional	27000	27000	Yes
annai veilankanni's college or engineering	1133	Engineering	Male 	Yes	Veg/Non veg	30000	20000	5000	5000	5000	5000	Yes	Optional	15000	20000	No
annai veilankanni's college or engineering	1133	Engineering	Female	Yes	Veg/Non veg	30000	20000	5000	5000	5000	5000	Yes	Optional	15000	20000	No
surya school of architecture	1134	School technology	Male 	Yes	Veg/Non veg	24600	21000	---	5000	--	--	Yes	Optional	8000	13000	No
surya school of architecture	1134	School technology	Female	Yes	Veg/Non veg	24600	21000	---	5000	--	--	Yes	Optional	8000	13000	No
aalim muhammed salegh academy of architecture	1135	Academy of Archi	Male 	Yes	Veg/Non veg	39000	13000	3000	1000	--	250	Yes	Optional	19600	22600	No
vedhantha institute of technology	1136	Institute	Male 	Yes	Veg/Non veg	30000	6000	600	2500	2500	500	Yes	Optional	5000	10000	No
vedhantha institute of technology	1136	Institute	Female	Yes	Veg/Non veg	30000	6000	600	2500	2500	500	Yes	Optional	5000	10000	No
annai mira college of engineering and technology	1137	Engineering	Male 	Yes	Veg/Non veg	36000	12000	2400	5000	--	--	Yes	Optional	7000	15000	No
