College ID	College Name	Name of principal 	Address	District	Phone Number	E-mail ID	WebSite	Bank A\C no	Bank Name	Distance from HQ	Nearest Railway station
1202	DMI College of Engineering	Rajasekar	10 Ecr, Near mahabalipuram	Chennai	044-4598309	dmi@gmail.com	www.dmi.com	1321321222	ING Vysya	5 Kms	No
1204	Kalsar college of engineering	Rajesh	12 Ecr, Near mahabalipuram		044-4548309	kalsar@gmail.com	www.kalsar.com	2321321322	ICICI	2 Kms	Central railway station
0001	university department of anna university -ceg campus	c. Chellappan	sardar patel road, guindy	chennai	044-22358476	deanceg@annauniv.edu	www.annauniv.edu	--	--	10 Kms	Gunidy / Kasthuribai Nagar
0002	university department of anna university -act campus	s.sivanesan	sardar patel road, guindy	chennai	044-22359100	deanact@annauniv.edu	www.annauniv.edu	10496972181	State Bank of India	11 Kms	Gunidy / Kasthuribai Nagar
0003	university department of anna university -sap campus	ranee vedamuthu	sardar patel road, guindy	chennai	044-22201421	raneev@annauniv.edu	www.annauniv.edu/sap	10496977724	State Bank of India	9 Kms	Gunidy / Kasthuribai Nagar
0004	university department of anna university -mit campus	s thamarai selvi	chrompet, tambram (Tk)	kancheepuram	044-22516002	dean@mitindia.edu	www.annauniv.edu/mitindia.edu	--	--	60 Kms	Chrompet
1013	university college of engineering, Villupuram	r senthil	kakuppam villupuram	villupuram	041-46224500	ucev_auc@yahoo.com	www.aucev.edu.in	30466389286	State Bank of India	7 Kms	Villpuram Jn
1014	university college of engineering, Tindivanam	k anbukumaran	melpakkam, tindivanam	villupuram	041-47224477	annauniv.ucet@gmail.com	www.annauniv.edu	30946704066	State Bank of India	42 Kms	Tindivanam
1015	university college of engineering, arni	g senthil kumar	arni to devikapuram road	thiruvannamalai	041-73244401	annauniv.ucea@gmail.com	www.annauniv.edu	30892980646	State Bank of India	60 Kms	Arni Road Jn
1026	university college of engineering, kanchipuram	t n shanmugam	Nh-4, chennai bangalore highway	kancheepuram	9244900630	ucekdean@gmail.com	--	131801000010885	Indian Overseas Bank	9 Kms	Kancheepuram
1101	aalim muhammed salegh college of engineering	m afzal ali baig	nizara educational campus, avadi iaf	thiruvallur	044-26842086	info@aalimec.ac.in	www.aalimec.ac.in	777538896	Indian Bank	20 Kms	Pattabiram Military Siding
1102	bahjarang engineering college	s neduncheliyan	near avadi, veppampattu 	thiruvallur	044-27624664	bhajarang2000@yahoo.com	www.bharajangenggcollege.com	01651010006980	Oriental bank of commerce	12Kms	Veppampattu
1104	pallava raja college of engineering	e anbalagan	kolivakkam, iyyengarkulam post	kancheepuram	044-27293099	prce.kanchi@gmail.com	www.pallavaraja.edu.in	25730110001677	UCO Bk	8 Kms	Kancheepuram
1006	jaya engineering college	krishnan vijayaraghavan	m.t.h road 	thiruvallur	044-26390041	info@jec.ac.in	www.jec.ac.in	146902000000004	Indian Overseas Bank	15 Kms	Nemilichery
1107	jaya institute of technology	g hemanthkumar	Tiruvallur-tiruttani NH Road	thiruvallur 	044-27874111	lcrcet@gmail.com	www.icrcet.ac.in	146902000000127	Indian Overseas Bank	17 Kms	Tiruvallur
1108	Magna College of Engineering	i s stephan thangaiah	Redhill - tiruvallur high road	thiruvallur 	044-27626301	magnace@vsnl.net	www.magnace.com	30426940391	State Bank of India	18 Kms	Chennai Central
1110	Prathyusha institute of technology and management	p m beulah devamalar	poonamallee-thiruvallur rd	thiruvallur 	044-37673767	principal@prathyusha.edu.in	www.prathyusha.edu.in	867786905	Indian Bank	10 Kms	Tiruvallur
1112	R M D Engineering College	k. Sivaram	GNT road	thiruvallur 	044-27925562	rmdecp@gmail.com	www.rmd.ac.in	CD-72	Indian Overseas Bank	50 kms	Kavaraipettai
1113	R M K Engineering College	Elwin chandra monie	RSM nagar Gummidipoondi	thiruvallur 	044-27925102	principal@rmkec.ac.in	www.rmkec.ac.in	CD-99	Indian Overseas Bank	50 kms	Kavaraipettai
